Date,ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax,soltotal,Site_Id,DHE,MeasStatus,LastUpdate
1993-04-13,0.02,67.7,74.9,82.1,64.6,2.53,16.63,15.04,J17WL,688.99,A,2024-11-19
1993-04-14,0.03,71.1,74.4,77.6,66.8,2.89,10.13,6.66,J17WL,689.14,A,2024-11-19
1993-04-15,0.09,44.0,62.7,81.4,45.3,2.39,25.75,23.6,J17WL,688.9,A,2024-11-19
1993-04-16,0.0,44.7,59.5,74.3,38.2,1.71,22.7,27.2,J17WL,688.61,A,2024-11-19
1993-04-17,0.0,47.7,60.5,73.3,47.1,1.9,18.36,20.72,J17WL,688.35,A,2024-11-19
1993-04-18,0.0,57.5,68.3,79.2,57.5,0.88,17.51,17.64,J17WL,688.21,A,2024-11-19
1993-04-19,0.0,60.3,73.3,86.4,59.9,1.11,27.58,24.14,J17WL,688.0,A,2024-11-19
1993-04-20,0.0,66.7,77.3,87.8,63.2,2.32,26.14,23.33,J17WL,687.55,A,2024-11-19
1993-04-21,0.0,50.7,64.9,79.1,46.3,2.63,23.75,17.15,J17WL,687.33,A,2024-11-19
1993-04-22,0.0,44.4,60.1,75.8,36.9,2.05,23.56,27.38,J17WL,687.09,A,2024-11-19
1993-04-23,0.0,49.9,64.5,79.1,45.5,1.95,25.83,27.55,J17WL,686.89,A,2024-11-19
1993-04-24,0.0,59.6,72.1,84.6,60.0,2.23,23.44,21.65,J17WL,686.73,A,2024-11-19
1993-04-25,0.0,68.2,75.9,83.6,65.9,2.01,18.36,15.16,J17WL,686.4,A,2024-11-19
1993-04-26,0.0,60.9,74.7,88.4,58.3,2.93,28.21,17.95,J17WL,685.93,A,2024-11-19
1993-04-27,0.0,61.4,72.1,82.8,52.6,1.96,26.41,27.33,J17WL,685.29,A,2024-11-19
1993-04-28,0.05,63.5,70.1,76.8,62.8,1.09,13.12,14.64,J17WL,685.07,A,2024-11-19
1993-04-29,0.53,68.1,72.0,75.9,67.0,1.35,7.53,6.62,J17WL,685.26,A,2024-11-19
1993-04-30,0.48,57.3,62.8,68.3,61.6,0.33,4.07,4.63,J17WL,685.74,A,2024-11-19
1993-05-01,0.16,59.9,67.4,74.8,62.5,0.85,11.57,14.22,J17WL,686.15,A,2024-11-19
1993-05-02,0.21,60.6,72.4,84.2,65.2,1.45,17.95,17.11,J17WL,686.36,A,2024-11-19
1993-05-03,0.0,50.6,64.6,78.6,49.5,1.29,22.25,26.25,J17WL,686.29,A,2024-11-19
1993-05-04,0.0,55.6,70.3,85.0,55.9,2.03,29.31,28.17,J17WL,686.2,A,2024-11-19
1993-05-05,0.78,63.3,72.5,81.8,67.2,0.89,14.08,10.55,J17WL,687.81,A,2024-11-19
1993-05-06,1.74,60.2,64.7,69.1,61.5,0.7,9.11,5.38,J17WL,689.95,A,2024-11-19
1993-05-07,0.0,64.7,74.6,84.4,67.3,1.33,17.95,21.61,J17WL,691.27,A,2024-11-19
1993-05-08,0.0,71.2,76.0,80.7,69.3,1.88,10.64,11.32,J17WL,691.85,A,2024-11-19
1993-05-09,0.01,73.1,77.5,81.9,69.5,3.25,12.29,14.64,J17WL,692.34,A,2024-11-19
1993-05-10,0.03,57.4,70.8,84.1,63.1,2.65,14.64,12.22,J17WL,692.66,A,2024-11-19
1993-05-11,0.0,52.7,66.6,80.5,47.3,2.27,26.25,27.4,J17WL,692.74,A,2024-11-19
1993-05-12,0.0,57.6,71.6,85.7,50.9,3.27,31.22,27.95,J17WL,692.71,A,2024-11-19
1993-05-13,0.0,55.6,69.4,83.1,50.9,2.51,27.12,26.65,J17WL,692.55,A,2024-11-19
1993-05-14,0.0,58.9,73.0,87.1,53.0,3.91,31.11,28.12,J17WL,692.2,A,2024-11-19
1993-05-15,0.0,60.3,74.5,88.6,54.6,2.94,33.13,28.2,J17WL,691.79,A,2024-11-19
1993-05-16,0.0,64.6,78.3,92.1,58.3,2.34,38.87,28.91,J17WL,691.26,A,2024-11-19
1993-05-17,0.0,67.0,78.4,89.9,62.0,2.41,31.81,27.64,J17WL,690.6,A,2024-11-19
1993-05-18,0.04,69.7,78.7,87.8,65.6,2.23,26.61,26.39,J17WL,689.9,A,2024-11-19
1993-05-19,0.14,62.1,75.2,88.3,61.4,3.06,28.43,19.0,J17WL,689.81,A,2024-11-19
1993-05-20,0.0,58.2,71.0,83.7,53.6,2.16,26.99,28.22,J17WL,689.19,A,2024-11-19
1993-05-21,0.0,59.9,72.1,84.2,58.1,1.21,25.0,26.23,J17WL,688.48,A,2024-11-19
1993-05-22,0.0,64.3,74.4,84.4,62.5,1.82,23.47,26.47,J17WL,687.94,A,2024-11-19
1993-05-23,1.47,64.0,71.8,79.5,67.5,0.91,11.57,9.14,J17WL,689.1,A,2024-11-19
1993-05-24,0.8,62.9,66.6,70.4,63.0,0.75,5.34,8.37,J17WL,689.74,A,2024-11-19
1993-05-25,0.0,63.5,72.2,80.9,64.1,0.95,14.5,19.07,J17WL,690.05,A,2024-11-19
1993-05-26,0.0,66.9,75.3,83.7,63.2,2.17,21.04,23.65,J17WL,690.36,A,2024-11-19
1993-05-27,0.0,65.5,74.1,82.8,62.5,2.1,20.27,20.66,J17WL,690.58,A,2024-11-19
1993-05-28,0.0,69.3,76.6,83.9,65.3,1.73,20.64,20.1,J17WL,690.64,A,2024-11-19
1993-05-29,0.43,70.2,76.9,83.5,68.4,1.21,17.36,17.1,J17WL,690.86,A,2024-11-19
1993-05-30,0.52,65.8,76.0,86.2,68.3,1.2,19.78,20.77,J17WL,691.2,A,2024-11-19
1993-05-31,0.0,67.5,77.6,87.7,68.0,1.48,22.26,20.31,J17WL,691.52,A,2024-11-19
1993-06-01,0.0,65.9,78.8,91.6,63.2,2.83,32.01,28.04,J17WL,691.36,A,2024-11-19
1993-06-02,0.0,68.1,77.7,87.2,61.9,2.41,26.63,29.18,J17WL,691.19,A,2024-11-19
1993-06-03,0.0,70.0,81.5,93.0,69.4,1.96,28.4,27.93,J17WL,690.63,A,2024-11-19
1993-06-04,0.0,71.9,82.5,93.1,70.5,3.07,25.61,28.04,J17WL,689.85,A,2024-11-19
1993-06-05,0.0,75.0,81.9,88.8,71.2,2.63,20.79,20.54,J17WL,689.14,A,2024-11-19
1993-06-06,0.0,77.1,83.9,90.7,73.4,3.37,22.19,21.45,J17WL,688.64,A,2024-11-19
1993-06-07,0.0,78.8,84.8,90.8,72.6,4.87,23.16,22.47,J17WL,687.88,A,2024-11-19
1993-06-08,0.0,77.9,83.2,88.6,72.9,5.1,18.76,18.39,J17WL,687.06,A,2024-11-19
1993-06-09,0.0,77.7,83.1,88.5,73.1,4.79,18.4,15.54,J17WL,686.18,A,2024-11-19
1993-06-10,0.32,65.7,78.1,90.4,70.4,1.89,23.46,21.33,J17WL,685.38,A,2024-11-19
1993-06-11,0.1,67.5,76.1,84.6,68.9,1.84,17.46,14.42,J17WL,685.8,A,2024-11-19
1993-06-12,0.0,71.7,79.2,86.6,69.8,2.39,18.52,20.47,J17WL,686.14,A,2024-11-19
1993-06-13,0.8,69.6,75.0,80.3,69.7,0.42,10.08,8.36,J17WL,686.96,A,2024-11-19
1993-06-14,0.11,71.0,78.6,86.1,69.7,1.08,18.77,18.31,J17WL,687.32,A,2024-11-19
1993-06-15,0.01,70.8,78.6,86.4,70.3,0.9,17.44,14.46,J17WL,687.74,A,2024-11-19
1993-06-16,0.0,71.7,80.7,89.7,69.8,1.72,24.83,21.99,J17WL,687.88,A,2024-11-19
1993-06-17,0.06,73.5,81.7,89.9,71.0,1.97,23.63,21.93,J17WL,688.06,A,2024-11-19
1993-06-18,0.04,74.5,81.1,87.7,72.1,1.81,18.88,18.61,J17WL,688.14,A,2024-11-19
1993-06-19,0.28,73.5,80.1,86.8,71.8,1.86,17.28,15.68,J17WL,688.41,A,2024-11-19
1993-06-20,0.22,74.2,79.4,84.5,71.6,1.85,14.08,17.2,J17WL,688.62,A,2024-11-19
1993-06-21,0.65,73.4,78.6,83.9,74.5,0.56,10.14,12.48,J17WL,688.89,A,2024-11-19
1993-06-22,0.31,73.8,80.4,86.9,72.7,1.76,15.54,17.7,J17WL,689.26,A,2024-11-19
1993-06-23,0.25,75.0,80.9,86.8,73.2,1.81,16.17,19.21,J17WL,689.54,A,2024-11-19
1993-06-24,0.11,75.7,82.2,88.7,73.1,2.37,19.52,19.27,J17WL,689.58,A,2024-11-19
1993-06-25,0.86,76.5,82.3,88.1,75.0,1.41,15.91,17.89,J17WL,689.79,A,2024-11-19
1993-06-26,1.19,69.9,78.7,87.4,73.3,0.82,15.9,17.45,J17WL,690.65,A,2024-11-19
1993-06-27,0.1,72.2,79.1,85.9,72.3,0.92,15.74,13.08,J17WL,691.31,A,2024-11-19
1993-06-28,0.0,75.5,81.7,87.8,72.7,1.83,19.23,18.54,J17WL,691.36,A,2024-11-19
1993-06-29,0.0,77.4,84.6,91.7,73.3,3.56,25.05,25.79,J17WL,691.42,A,2024-11-19
1993-06-30,0.0,77.0,84.5,92.0,73.6,3.32,23.61,25.94,J17WL,691.29,A,2024-11-19
1993-07-01,0.0,76.9,84.2,91.5,73.2,3.11,23.77,25.1,J17WL,691.14,A,2024-11-19
1993-07-02,0.0,75.7,83.3,90.8,71.9,3.08,23.62,23.6,J17WL,690.78,A,2024-11-19
1993-07-03,0.0,76.2,83.5,90.7,71.5,3.31,25.04,25.54,J17WL,690.5,A,2024-11-19
1993-07-04,0.0,76.0,83.7,91.3,70.6,3.66,26.76,25.4,J17WL,690.34,A,2024-11-19
1993-07-05,0.0,76.9,83.7,90.5,71.4,4.64,25.5,24.45,J17WL,690.1,A,2024-11-19
1993-07-06,0.0,76.9,84.5,92.1,72.6,3.78,25.36,20.16,J17WL,689.59,A,2024-11-19
1993-07-07,0.0,77.4,84.8,92.2,72.7,3.69,25.23,24.23,J17WL,689.1,A,2024-11-19
1993-07-08,0.0,76.0,83.9,91.7,71.5,3.64,26.45,25.18,J17WL,688.64,A,2024-11-19
1993-07-09,0.0,76.8,84.0,91.1,70.8,3.98,26.22,26.91,J17WL,688.27,A,2024-11-19
1993-07-10,0.0,75.2,84.0,92.9,71.4,2.93,27.78,26.44,J17WL,687.71,A,2024-11-19
1993-07-11,0.0,75.3,82.9,90.4,71.6,2.47,23.37,22.27,J17WL,687.47,A,2024-11-19
1993-07-12,0.0,76.8,85.1,93.4,71.3,3.65,29.57,26.72,J17WL,686.89,A,2024-11-19
1993-07-13,0.0,76.0,84.3,92.6,71.0,3.53,27.66,24.33,J17WL,686.26,A,2024-11-19
1993-07-14,0.0,75.9,84.5,93.2,70.9,3.1,29.95,24.38,J17WL,685.67,A,2024-11-19
1993-07-15,0.0,74.7,84.1,93.4,70.0,2.37,31.03,25.66,J17WL,685.0,A,2024-11-19
1993-07-16,0.0,75.7,84.1,92.4,70.6,2.48,28.85,24.48,J17WL,684.71,A,2024-11-19
1993-07-17,0.0,78.0,86.5,94.9,71.9,4.35,31.42,23.07,J17WL,684.26,A,2024-11-19
1993-07-18,0.0,75.6,85.1,94.7,72.2,2.62,30.5,24.96,J17WL,684.04,A,2024-11-19
1993-07-19,0.0,75.0,84.6,94.3,71.1,2.42,30.85,26.31,J17WL,683.44,A,2024-11-19
1993-07-20,0.0,76.2,85.2,94.2,71.3,3.24,31.31,24.81,J17WL,682.94,A,2024-11-19
1993-07-21,0.0,76.3,85.3,94.3,70.8,3.38,31.59,26.89,J17WL,682.57,A,2024-11-19
1993-07-22,0.0,77.9,86.6,95.3,71.1,4.55,33.2,26.17,J17WL,681.47,A,2024-11-19
1993-07-23,0.0,75.2,85.9,96.6,70.2,3.18,37.94,24.04,J17WL,681.24,A,2024-11-19
1993-07-24,0.0,76.5,87.5,98.6,71.7,3.83,39.53,26.54,J17WL,681.3,A,2024-11-19
1993-07-25,0.0,76.6,87.2,97.8,70.9,3.4,39.87,27.75,J17WL,680.99,A,2024-11-19
1993-07-26,0.0,74.8,86.3,97.8,68.7,2.71,42.55,27.17,J17WL,680.52,A,2024-11-19
1993-07-27,0.0,76.1,86.1,96.1,68.7,3.1,38.45,27.25,J17WL,679.51,A,2024-11-19
1993-07-28,0.0,77.5,87.2,96.9,70.9,3.81,36.36,26.82,J17WL,679.5,A,2024-11-19
1993-07-29,0.0,77.4,87.4,97.4,71.6,3.19,37.47,26.24,J17WL,678.98,A,2024-11-19
1993-07-30,0.0,76.7,86.9,97.0,71.3,3.83,36.51,27.06,J17WL,678.59,A,2024-11-19
1993-07-31,0.0,77.2,87.9,98.6,70.8,4.64,39.31,27.28,J17WL,678.33,A,2024-11-19
1993-08-01,0.0,76.8,87.2,97.6,70.8,3.62,36.82,26.83,J17WL,678.15,A,2024-11-19
1993-08-02,0.0,76.4,87.2,97.9,70.2,4.03,37.95,26.61,J17WL,677.7,A,2024-11-19
1993-08-03,0.0,76.8,87.4,98.0,69.7,3.6,41.06,27.14,J17WL,677.16,A,2024-11-19
1993-08-04,0.0,76.0,87.0,97.9,68.4,3.87,43.11,25.7,J17WL,676.82,A,2024-11-19
1993-08-05,0.0,75.5,86.5,97.5,67.8,3.13,41.71,24.57,J17WL,676.44,A,2024-11-19
1993-08-06,0.0,75.9,86.8,97.8,68.4,3.01,42.18,26.31,J17WL,676.06,A,2024-11-19
1993-08-07,0.0,76.2,87.2,98.1,68.9,4.04,40.56,26.87,J17WL,676.01,A,2024-11-19
1993-08-08,0.0,76.5,87.2,97.8,68.6,3.61,41.31,25.92,J17WL,675.79,A,2024-11-19
1993-08-09,0.0,77.0,87.4,97.9,70.5,3.48,39.75,25.43,J17WL,675.48,A,2024-11-19
1993-08-10,0.0,75.7,86.7,97.8,68.5,3.74,39.94,26.07,J17WL,674.99,A,2024-11-19
1993-08-11,0.0,75.8,86.4,97.0,69.3,3.92,37.2,26.71,J17WL,674.69,A,2024-11-19
1993-08-12,0.0,75.6,86.2,96.8,69.3,3.58,38.44,25.87,J17WL,674.4,A,2024-11-19
1993-08-13,0.0,76.3,87.0,97.7,70.1,3.59,39.03,25.58,J17WL,673.66,A,2024-11-19
1993-08-14,0.0,76.5,87.0,97.5,69.2,3.19,40.21,25.79,J17WL,674.09,A,2024-11-19
1993-08-15,0.0,77.7,87.9,98.2,70.1,4.4,40.72,25.2,J17WL,674.23,A,2024-11-19
1993-08-16,0.0,77.3,88.0,98.8,69.9,3.73,41.41,24.8,J17WL,673.75,A,2024-11-19
1993-08-17,0.0,76.0,87.0,97.9,69.1,4.17,41.1,25.55,J17WL,673.23,A,2024-11-19
1993-08-18,0.0,77.0,87.4,97.8,69.0,4.35,41.06,24.63,J17WL,673.02,A,2024-11-19
1993-08-19,0.0,74.3,86.5,98.8,64.7,3.64,47.83,25.46,J17WL,672.69,A,2024-11-19
1993-08-20,0.0,73.7,85.9,98.1,65.8,3.46,44.77,26.07,J17WL,672.54,A,2024-11-19
1993-08-21,0.0,74.8,85.9,97.0,63.4,5.19,42.82,24.53,J17WL,672.47,A,2024-11-19
1993-08-22,0.0,74.3,86.1,97.9,67.4,3.92,43.67,24.79,J17WL,672.46,A,2024-11-19
1993-08-23,0.0,76.0,87.1,98.1,69.8,4.01,41.33,24.76,J17WL,672.13,A,2024-11-19
1993-08-24,0.0,78.8,88.8,98.8,70.8,4.95,41.99,23.07,J17WL,671.93,A,2024-11-19
1993-08-25,0.0,74.7,86.9,99.0,68.1,3.17,46.06,23.98,J17WL,671.91,A,2024-11-19
1993-08-26,0.0,76.3,87.3,98.4,68.7,3.55,41.99,22.18,J17WL,671.72,A,2024-11-19
1993-08-27,0.0,75.5,85.2,94.9,68.1,5.3,35.44,20.69,J17WL,671.71,A,2024-11-19
1993-08-28,0.54,75.4,82.3,89.1,70.6,3.6,21.34,17.86,J17WL,672.27,A,2024-11-19
1993-08-29,0.0,74.6,84.6,94.6,69.1,3.45,35.08,21.0,J17WL,672.45,A,2024-11-19
1993-08-30,0.0,74.6,85.1,95.6,69.8,2.57,36.51,22.39,J17WL,672.29,A,2024-11-19
1993-08-31,0.0,76.1,86.0,95.9,70.3,3.46,36.29,20.19,J17WL,672.3,A,2024-11-19
